question,answer
"John füllt einen zwei Meter breiten und vier Meter großen Pool, der zwei Meter tief ist. Es kostete $ 1 pro Kubikfuß zu füllen. Wie viel kostet die Füllung?",Der Pool hat eine Basis von 6*4= <<6*4=24>> 24 Quadratfuß also war sein Volumen 24*5= <<24*5=120>> 120 Kubikfuß also kostete es 120*1=$ <<120*.1=12>> 12 den Pool zu füllen #### 12
"Wenn ein Klassenzimmer 3 mal so viele Mädchen hat wie Jungen, und 1/10 so viele Kinder ohne Geschlecht wie Jungen, und das Klassenzimmer hat 30 Jungen. Wie viele Kinder hat es insgesamt?","Das Klassenzimmer hat 3 * 30 Jungen = <<3*30=90>> 90 Mädchen. Das Klassenzimmer hat 1/10 geschlechtsunabhängige Kinder, also 10/100 * 30 Jungen = <<10/100*30=3>> 3 geschlechtsunabhängige Kinder. Insgesamt hat das Klassenzimmer 90 + 30 + 3 = <<90+30+3=123>> 123 Schüler. #### 123"
"Das Verhältnis zwischen den elektrischen Stangen und den elektrischen Leitungen, die benötigt werden, um den Strom in einer bestimmten Nachbarschaft anzuschließen und zu versorgen, beträgt 1:3. Wenn die Gesamtzahl der elektrischen Drähte, die benötigt werden, um den Strom in der Nachbarschaft anzuschließen, 45 beträgt, berechnen Sie die Gesamtzahl der elektrischen Stangen, die von einer Elektrizitätsgesellschaft benötigt werden, um den Strom in der Nachbarschaft zu liefern.","Das Gesamtverhältnis, das die Anzahl der elektrischen Stangen und Drähte darstellt, ist 1 + 3 = <<1+3=4>> 4 Der Bruch, der die Anzahl der Drähte darstellt, die zum Anschließen der Stromversorgung der Nachbarschaft benötigt werden, ist <<3/4=3/4>> 3/4 Wenn 3/4 45 darstellt, ist die Anzahl der für die Anschlüsse benötigten Drähte Dann ... der Gesamtanteil 4/4, der die erforderlichen Stangen und Drähte darstellt, entspricht 4/4*45*4/3=60 Da die Gesamtzahl der erforderlichen Drähte und Stangen 60 beträgt, und die Anzahl der zu verwendenden elektrischen Drähte beträgt 45, die Anzahl der benötigten Stangen beträgt 60-45= <<60-45=15>> 15 #### 15"
"Zu Beginn der Party waren es 25 Männer und 15 Frauen. Nach einer Stunde ging ein Viertel der Gesamtanzahl weg. Wie viele Frauen bleiben übrig, wenn 22 Männer auf der Party bleiben?","Es waren insgesamt 25 Männer + 15 Frauen = <<25+15=40>> 40 Personen, die an der Party teilnahmen. Nach einer Stunde verließen 40 Leute / 4 = <<40/4=10>> 10 Leute die Party. Das bedeutet 40 Personen - 10 Personen = <<40-10=30>> 30 Personen sind geblieben. Von den 30 Personen, die blieben, waren 30 Personen - 22 Männer = <<30-22=8>> 8 Frauen. #### 8"
Eine Zeitschrift kostet halb so viel wie ein Buch. Das Buch kostet vier Dollar. Ein Stift kostet einen Dollar weniger als eine Zeitschrift. Wie viel kostet der Stift?,Die Kosten für eine Zeitschrift sind $4/2 = $<<4/2=2>> 2. Die Kosten für einen Stift betragen $2 - $1 = $ <<2-1=1>> 1. #### 1
"Jam hat drei Kisten voller Bleistifte und 2 lose Bleistifte, was insgesamt 26 Bleistifte ergibt. Wenn ihre Schwester, Meg, 46 Bleistifte hat, wie viele Kisten brauchen Jam und Meg, um all ihre Bleistifte aufzubewahren?","In den drei Kisten befinden sich insgesamt 26 - 2 = <<26-2=24>> 24 Bleistifte. Jede Schachtel kann also 24 / 3 = <<24/3=8>> 8 Bleistifte enthalten. Zusammen haben Jam und Meg 26 + 46 = <<26+46=72>> 72 Bleistifte. Daher benötigen sie 72 / 8 = <<72/8=9>> 9 Kisten, um alle ihre Bleistifte hineinzufügen. #### 9"
"Shannon macht sich selbst Eiskaffee, indem sie heißen Kaffee braut und Eiswürfel hinzufügt. Jeder Eiswürfel kühlt den Kaffee um 13 Grad ab, macht ihn aber um 12 Milliliter schwächer. Jede zusätzliche Flüssigkeit schwächt auch den Kaffee. Wie viele Milliliter schwächer ist Shannons Eiskaffee, wenn er um 65 Grad gekühlt wird und sie 15 Milliliter Sahne hinzufügt?",Shannons Eiskaffee enthält 65 / 13 = <<65/13=5>> 5 Eiswürfel. Das Eis macht den Kaffee 5 * 12 = <<5*12=60>> 60 Milliliter schwächer. Nach dem Hinzufügen von Sahne ist Shannon's Eiskaffee 60 + 15 = <<60+15=75>> 75 Milliliter schwächer. #### 75
"Ralph hat einen Plattenladen, wo Leute ihre eigenen Platten gegen neue eintauschen können. Man kann zwei alte Platten gegen eine neue eintauschen. Fünf Leute kommen mit alten Platten und gehen mit sieben neuen Platten. Wie viele alte Platten haben die 5 Leute mitgebracht?","Die Leute können 2 alte Platten einbringen = 1 neue Platte bekommen. 5 Leute kommen mit alten Aufzeichnungen und gehen mit 7 neuen Aufzeichnungen, 7 neue Aufzeichnungen x 2 alte Aufzeichnungen, die für jeden gehandelt wurden = <<7*2=14>> 14 alte Aufzeichnungen, die die 5 Leute mitgebracht haben. #### 14"
"Jaime arbeitet als Programmierer für ein Unternehmen, das derzeit 100 Mitarbeiter beschäftigt. Senior-Programmierer erhalten 400 Dollar mehr als Junior-Programmierer. Wenn die Zahl der Junior-Programmierer 2/5 der Gesamtzahl der Beschäftigten beträgt, und Sie werden jeweils 2000 Dollar im Monat bezahlt, berechnen Sie den Gesamtbetrag, den die Firma an alle Programmierer im Monat zahlt.","Die Anzahl der Junior-Programmierer im Unternehmen beträgt 2/5*100 = <<2/5*100=40>> 40 Der Gesamtbetrag, den das Unternehmen an die Junior-Mitarbeiter zahlt, beträgt $ 2000*40 = $ <<2000*40=80000>> 80000 Es gibt auch 100-40 = <<100-40=60>> 60 Senior-Programmierer im Unternehmen. Die älteren Programmierer erhalten $ 2000 + $ 400 = $ <<2000+400=2400>> 2400 pro Person. Senior-Programmierer im Unternehmen erhalten 2400*60 = $ <<2400*60=144000>> 144000 zusammen. Alle Programmierer im Unternehmen erhalten ein kombiniertes Gehalt von 144000 + 80000 = <<144000+80000=224000>> 224000 #### 224000"
"Einige Leute stiegen am Terminal in einen Bus. An der ersten Bushaltestelle stiegen fünf weitere Personen ein. An der zweiten Bushaltestelle stiegen sieben Personen aus und acht weitere. Wenn es insgesamt 20 Personen waren, die zur dritten Haltestelle fuhren, wie viele Menschen stiegen dann am Terminal in den Bus?","Es waren 20 - 8 = <<20-8=12>> 12 Personen im Bus, bevor 8 Personen an der zweiten Haltestelle einstiegen. Es waren insgesamt 12 + 7 = <<12+7=19>> 19 Personen an der zweiten Haltestelle, bevor 7 Personen abstürzten. Also, 19 - 5 = <<19-5=14>> 14 Leute stiegen am Terminal in den Bus. #### 14"
"Oscar hat 24 Lutscher und isst zwei auf dem Weg zur Schule. Er gibt 14 an seine Freunde weiter. Er kauft auf dem Heimweg doppelt so viele Lutscher, wie er seinen Freunden gegeben hat. Er isst 3 weitere in der Nacht und 2 am Morgen. Wie viele Lutscher hat Oscar?","Er hat 24 Lutscher, isst 2 und gibt 14 an seine Freunde weiter, so dass 24-2-14 = <<24-2-14=8>> 8 Lutscher übrig sind Auf dem Heimweg kauft er das Doppelte der 14 Lutscher, die er ausgegeben hat, also kaufte er 2*14 = <<2*14=28>> 28 Lutscher Er hat jetzt 8+28 = <<8+28=36>> 36 Lutscher Er hat 36, isst 3 in der Nacht und 2 mehr am Morgen, so dass er mit 36-3-2 = <<36-3-2=31>> 31 Lutscher übrig bleibt #### 31"
"Das Handy wird mit einer Geschwindigkeit von 1 Prozentpunkte pro 3 Minuten aufgeladen. Das Telefon ist zu 60% aufgeladen. Wie lange dauert es, bis es voll aufgeladen ist, in Stunden?",100-60= <<100-60=40>> 40 Prozentpunkte Dann 40*3= <<40*3=120>> 120 Minuten bis zur vollen Ladung. Und 120/60 = <<120/60=2>> 2 Stunden. #### 2
"Erin hat sieben Lutscher. Ihre Mutter gibt Erin weitere 10 Lutscher. Wenn Erin 3 ihrer Lutscher an Ella gibt, wie viele Lutscher hat sie noch?","Erin hat 7 + 10 = <<7+10=17>> 17 Lutscher Nachdem sie 3 Lutscher an Ella gibt, hat sie 17 - 3 = <<17-3=14>> 14 Lutscher. #### 14"
"Die Treue-Karte eines Kunden in einem Geschäft belohnt ihn mit einem Dollar Rabatt auf den nächsten Einkauf für alle 20 Dollar, die er ausgibt. Ihre letzte Einkaufsreise kostete 80 Dollar. Bei dieser Einkaufstour gaben sie 43 Dollar aus, nutzten ihre Belohnungen und verwendeten einen Gutschein, der den doppelten Betrag an Belohnungen vom Preis abnahm. Wie viele Dollar hat der Kunde für diese Einkaufsreise bezahlt?",Der Kunde hatte 80 / 20 = $ <<80/20=4>> 4 in Belohnungen. Ihr Gutschein war 4 * 2 = $ <<4*2=8>> 8 wert. So zahlten sie 43 - 4 - 8 = $ <<43-4-8=31>> 31 für diese Einkaufsreise. #### 31
"Nick muss sich zwischen zwei Jobs entscheiden. Job A zahlt $15 pro Stunde für 2000 Stunden im Jahr und ist in einem Staat mit einem 20%igen Gesamtsteuersatz. Job B zahlt 42.000 Dollar im Jahr und ist in einem Staat, der 6.000 Dollar an Grundsteuer und einen 10%igen Steuersatz auf das Nettoeinkommen nach der Grundsteuer verlangt. Wie viel mehr Geld wird Nick bei dem Job mit einer höheren Nettozahlung verdienen, verglichen mit dem anderen Job?","Zuerst berechnen Sie das Bruttojahresgehalt für Job A: 2000 Stunden * $ 15 / Stunde = $ <<2000*15=30000>> 30.000 Als nächstes berechnen Sie die Höhe der Steuern, die Nick bei Job A zahlt, indem Sie sein Nettogehalt mit dem 20-prozentigen Steuersatz multiplizieren: .2 * $ 30.000 = $ <<30000*.2=6000>> 6.000 Nun subtrahieren Sie Nicks Steuern von seinem Nettoeinkommen, um sein Bruttogehalt bei Job A zu finden: $ 30.000 - $ 6.000 = $ <<30000-6000=24000>> 24.000 Nun subtrahieren Sie Nicks Vermögenssteuern von seinem Bruttoeinkommen bei Job B: $ 42.000 - $ 6.000 = $ <<42000-6000=36000>> 36.000 Nun multiplizieren Sie Nicks Einkommen nach Vermögenssteuer mit 10% um seine Einkommensteuer bei Job B zu finden: $ 36.000 * 10% = $ X4 3.600 Nun subtrahieren Sie den Einkommensteuersatz von Nicks Einkommen nach Steuern, um sein Nettoeinkommen bei Job B zu finden: $ 36.000 - $ 33.600 = $ <<36000-3600=32400>> 32.400 Nun subtrahieren Sie das Nettoeinkommen aus dem niedrigsten bezahlenden Job (A) von dem Nettoeinkommen aus dem höheren Job (PHY - $ 8.400)."
"Es gibt 220 Schlösser in Schottland. 40 Prozent davon sind Ruinen, und die Hälfte der zerstörten Burgen ist unbewohnt. Wie viele unbemannte Ruinenburgen gibt es in Schottland?",Ruinen:220(.40)=88 Unbemannt:88/2= <<88/2=44>> 44 Schlösser #### 44
Robert will ein Bücherregal und ein Sofa kaufen und hat zwei Angebote erhalten. Das Angebot von Furniture United beinhaltet eine Vorauszahlung von 1.350 Dollar und 6 monatliche Raten von jeweils 350 Dollar. Das Angebot von Cozy Homes beinhaltet eine Vorauszahlung von 1.100 Dollar und 9 monatliche Raten von jeweils 250 Dollar. Wie hoch ist der Kostenunterschied zwischen den beiden Angeboten?,Das Angebot von Furniture United beträgt 1.350 + (6 * 350) = $ <<1350+(6*350)=3450>> 3.450 Das Angebot von Cozy Homes beträgt 1.100 + (9 * 250) = $ <<1100+9*250=3350>> 3.350 Der Unterschied beträgt 3.450 3.350 = $ <<3450-3350=100>> 100 #### 100
"Nick, Richard, Jason und DJ haben jeweils eine Paintball-Pistole. DJ hat 8 Gewehre, Nick hat 10 Gewehre, RJ hat 1 Gewehr und Richard hat 5 Gewehre. Wenn sie ihre Waffen gleichmäßig teilen würden, wie viele Waffen hätte jeder von ihnen?",Die Gesamtzahl der Gewehre ist 8+10+1+5= <<8+10+1+5=24>> 24 Gewehre. Sie hätten jeweils 24/4= <<24/4=6>> 6 Kanonen. #### 6
"Mason braucht 30 Unzen Zucker, um eine Charge von Saugern zu machen und 70 Unzen Zucker, um eine Charge von Fudge zu machen. Wie viel Zucker braucht er, um 8 Chargen Sauger und 1 Charge Fudge zu machen?","Finden Sie zuerst den Gesamtzucker, der für die Sauger benötigt wird: 30 Unzen / Charge * 8 Chargen = <<30*8=240>> 240 Unzen Dann addieren Sie die Menge, die er benötigt, um den Fudge zu machen, um die Gesamtmenge an Zucker zu finden, die benötigt wird: 240 Unzen + 70 Unzen = <<240+70=310>> 310 Unzen #### 310"
Maria kauft 8 Aktien einer Aktie für $8 pro Stück. Der Aktienkurs steigt im ersten Jahr um 50% und sinkt im zweiten Jahr um 25%. Wie hoch ist der endgültige Wert von Marias Aktien?,"Finden Sie zunächst den anfänglichen Gesamtwert von Marias Kauf: 8 Aktien * $8/Aktie = $<<8*8=64>> 64 Finden Sie dann den Betrag der ersten Preiserhöhung: $64 * .5 = $<<64*.5=32>> 32 Fügen Sie diesen Betrag dem anfänglichen Wert hinzu, um den Wert nach dem ersten Jahr zu finden: $64 + $32 = $<<64+32=96>> 96 Dann multiplizieren Sie diesen Betrag mit 25%, um den Wert des Rückgangs im zweiten Jahr zu finden: $96 * 25% = $<<96*25*.01=24>> 24 Dann subtrahieren Sie diesen Betrag vom Wert nach dem ersten Jahr, um den endgültigen Wert zu finden: $96 - $24 = $<<96-24=72>> 72 #### 72"
"Luke hat zwei Hot Dogs gegessen. Thomas hat dreimal so viele Hot Dogs gegessen wie Luke. John aß die Hälfte der Menge, die Thomas aß. Wie viele Hot Dogs hat John mehr gegessen als Luke?",Thomas hat 3 * 2 = <<3*2=6>> 6 Hot Dogs gegessen. John hat 6/2 = <<6/2=3>> 3 Hot Dogs gegessen. John aß 3 - 2 = <<3-2=1>> 1 mehr Hot Dogs als Luke. #### 1
"Eine Klasse von 200 Schülern wird in 3 Gruppen aufgeteilt, so daß 2 von ihnen in der Zahl gleich sind und die letzte (die kleinste) 10 weniger ist als jede der anderen Gruppen. Wie viele Schüler sind in dieser (kleinsten) Gruppe?","Wenn der kleinsten Gruppe 10 hinzugefügt wird (also der Gesamtzahl der Schüler), wären alle 3 Gruppen gleich, so dass (200+10) / 3 = <<(200+10)/3=70>> 70 in jeder Gruppe. Wenn man nun die 10 von einer Gruppe wegnimmt, ergibt sich die Zahl der kleinsten Gruppe als 70-10 = <<70-10=60>> 60 Schüler. #### 60"
"Farmer Brown hat 60 Tiere auf seinem Bauernhof, alle entweder Hühner oder Kühe. Er hat doppelt so viele Hühner wie Kühe. Wie viele Beine haben die Tiere zusammen?",Es gibt 60*(2/3) = <<60*(2/3)=40>> 40 Hühner. Es gibt 60-40= <<60-40=20>> 20 Kühe. Die Hühner haben 40*2= <<40*2=80>> 80 Beine. Die Kühe haben 20*4= <<20*4=80>> 80 Beine. Sie haben insgesamt 80+80= <<80+80=160>> 160 Beine. #### 160
"Josh beschließt, Jonglieren aufzunehmen, um einen Monat später bei der Talentshow der Schule aufzutreten. Er beginnt damit, drei Bälle zu jonglieren, und wird langsam besser, indem er jede Woche einen Ball zu seinem Jonglieren hinzufügt. Nach dem Ende der vierten Woche beginnt die Talentshow, aber als Josh auf die Bühne geht, rutscht er aus und lässt drei seiner Eier fallen. 2 von ihnen werden von Menschen in der Menge erwischt, als sie von der Bühne rollen, aber einer geht völlig verloren, da der Saal dunkel ist. Mit einem Seufzer beginnt Josh auf der Bühne mit wie vielen Eiern zu jonglieren?","Josh beginnt mit 3 Kugeln und fügt 4 Wochen lang jede Woche 1 Kugel hinzu für insgesamt 3 + 4 = <<3+4=7>> 7 Josh lässt 3 Kugeln fallen, wenn er auf der Bühne stolpert und ihn mit 7-3 = <<7-3=4>> 4 Kugeln #### 4 zurücklässt"
"Ein rosa Frosch wiegt genauso wie ein blauer Käfer, genauso wie eine grüne Kröte, 10 Pfund weniger als eine gelbe Schlange, aber 20 Pfund mehr als ein roter Vogel. Wenn der rosa Frosch 50 Pfund wiegt, berechne das Gesamtgewicht eines Behälters mit einem von jedem Tier, wenn der Behälter auch 20 Pfund wiegt.","Da der rosa Frosch das gleiche Gewicht wiegt wie ein blauer Käfer und eine grüne Kröte, wiegen die drei Tiere zusammen 3*50 = 150 Pfund, wenn das Gewicht des Pflückerfrosches 50 Pfund beträgt. Der rosa Frosch wiegt außerdem 10 Pfund weniger als eine gelbe Schlange, was bedeutet, dass das Gewicht der gelben Schlange 50+10 = <<50+10=60>> 60 Pfund beträgt. Wenn man das Gewicht des Frosches, des blauen Käfers, der grünen Kröte hinzufügt, und die gelbe Schlange zusammen, alle Tiere abzüglich des roten Vogels haben ein Gesamtgewicht von 60+150 = <<60+150=210>> 210 Pfund. Der rosa Frosch wiegt auch 20 Pfund mehr als ein roter Vogel, was bedeutet, dass der rote Vogel 50-20 = <<50-20=30>> 30 Pfund wiegt. Alle Tiere wiegen insgesamt 30+210 = <<30+210=240>> 240 Pfund Wenn die Tiere in einem Behälter mit einem Gewicht von 20 Pfund sind, ist das Gesamtgewicht des vollen Behälters 240+20 = 260 Pfund #### 260"
"Laurels Freundin gab ihr 24 Kleider für Babys, die ihr Kind nicht mehr brauchte. Bei ihrer Babyparty erhielt Laurel doppelt so viele neue Babykleidung. Dann schenkte Laurels Mutter ihr weitere 15 Kleider für Babys. Wie viele Outfits hat sie für ihr Baby?","Ihre Freundin gab ihr 24 Outfits und sie erhielt doppelt so viele bei der Baby-Dusche, also erhielt sie 2*24 = 48 Baby-Outfits Ihre Freundin gab ihr 24 Outfits, sie erhielt 48 bei der Baby-Dusche und ihre Mutter gab ihr weitere 15 für insgesamt 24+48+15 = <<24+48+15=87>> 87 Baby-Outfits #### 87"
"In seinem Training als Profisportler läuft Tyson jeden Tag 5000 Meter. Sein Trainer will jedoch, dass er 1/5 mal mehr Meter am Tag läuft. Wenn er dem Rat des Trainers folgte und einen Monat lang trainierte, wie hoch ist die Gesamtstrecke, die er im Juni zurücklegte?","Tysons Trainer will, dass er 1/5 * 5000 Meter läuft = <<5000/5=1000>> 1000 Meter mehr pro Tag. Als er dem Rat des Trainers folgte, erhöhte er die Trainingsdistanz, die er pro Tag läuft, auf 5000 Meter + 1000 Meter = <<5000+1000=6000>> 6000 Meter. Er hat im Juni bei seinen Trainingseinheiten 6000 Meter/Tag * 30 Tage/Monat = <<6000*30=180000>> 180000 Meter zurückgelegt. #### 180000"
In einem Restaurant kostet die Juice Box A 4 Dollar. Juice Box B ist 5 Dollar mehr als Juice Box A. Juice Box C ist 7 Dollar mehr als Juice Box A. Wie viel größer ist Juice Box C als Juice Box B?,Saftbox B ist 4+5 = <<4+5=9>> 9 Dollar. Saftbox C ist 4+7 = <<4+7=11>> 11 Dollar. Saftbox C ist 11-9 = <<11-9=2>> 2 Dollar mehr als Saftbox B. #### 2
"Ein Restaurant hat 40 Tische mit 4 Beinen und 50 Tische mit 3 Beinen. Berechne die Gesamtzahl der Beine, die die Tische des Restaurants haben.","Die Gesamtzahl der Beine, die die Tische mit vier Beinen haben, beträgt 40*4 = <<40*4=160>> 160 Beine Die Tische mit drei Beinen haben insgesamt 50*3 = <<50*3=150>> 150 Beine. Die Gesamtzahl der Beine, die der Tisch des Restaurants hat, ist 150 + 160 = <<150+160=310>> 310 #### 310"
Jenny kauft eine Tüte Kekse pro Woche. Die Tasche hat 36 Kekse und sie legt 4 Kekse in die Lunchbox ihres Sohnes 5 Tage die Woche. Ihr Mann isst 7 Tage lang einen Keks am Tag. Jenny isst den Rest der Kekse. Wie viele Kekse isst Jenny?,Der Sohn bekommt 4 Kekse pro Tag für 5 Tage also isst er 4*5 = <<4*5=20>> 20 Kekse Ihr Mann isst 1 Kekse pro Tag für 7 Tage also isst er 1*7 = <<1*7=7>> 7 Kekse Es gibt 36 Kekse in einer Tasche und ihr Sohn isst 20 und ihr Mann isst 7 also isst Jenny 36-20-7 = <<36-20-7=9>> 9 Kekse #### 9
"Davos hat zwei T-Shirts aus dem Einkaufszentrum gekauft, die jeweils 30 Dollar kosten. Wenn er sie mit 40% Rabatt gekauft hat, wie viel hat Davos für die beiden Hemden bezahlt?","Der Gesamtpreis der 2 Hemden beträgt $30 x 2 = $<<30*2=60>> 60. Der gesamte Rabatt auf die beiden Hemden beträgt 60 $ x 0,40 = $ <<60*0.40=24>> 24. Daher beträgt der Gesamtbetrag, den Davos für die beiden Hemden bezahlt hat, $60 - $24 = $<<60-24=36>> 36. #### 36"
"Eine Fabrik, die früher Traktoren herstellte, aber jetzt Silos herstellt. Als sie Traktoren herstellten, verkauften sie 10 Traktoren pro Tag und machten 100 Dollar pro Traktor. Sie verkaufen 5 Silos am Tag und verdienen 220 Dollar pro Silo. Wie viel Prozentsatz mehr verdienen sie jetzt pro Tag?","Früher verdienten sie $1.000 pro Tag, weil 10 x 100 = <<10*100=1000>> 1.000 Jetzt verdienen sie 1.100 pro Tag, weil 5 x 220 = <<5*220=1100>> 1.100 Sie verdienen 10% mehr pro Tag, weil 1000 + 1000 x (X/100)) = 1.100, wenn X = 10 #### 10"
"Jeden Monat muss Madeline Essen, Leckereien und Medikamente für ihren Hund kaufen. Das Essen kostet 25 Dollar pro Woche. Leckereien kosten 20 Dollar im Monat. Die Medizin kostet 100 Dollar im Monat. Wie viel Geld gibt Madeline pro Jahr für ihren Hund aus, wenn es 4 Wochen im Monat gibt?",Madeline gibt $25*4=$<<25*4=100>> 100 pro Monat für Futter für ihren Hund aus. Sie gibt $ 100 + $ 20 + $ 100 = $ <<100+20+100=220>> 220 für ihren Hund pro Monat aus. Sie wird $220*12=$ <<220*12=2640>> 2640 pro Jahr für ihren Hund ausgeben #### 2640
"Peyton hat am Montag eine Stunde Yoga nach der Arbeit geplant, einen Kochkurs, der dreimal so lange dauert wie Montags Yoga am Dienstag, eine halbe Stunde Käseverkostung am Mittwoch, eine Museumsbesichtigung, die halb so lange dauert wie der Kochkurs am Donnerstag, und zwei Stunden Besorgungen am Freitag. Wie viele Stunden werden alle Peytons Aktivitäten nach der Arbeit dauern?",Peytons Kochkurs dauert 3 mal 1 = <<3*1=3>> 3 Stunden. Die Museumstour dauert 3 / 2 = 1 1/2 Stunden. Peytons Aktivitäten nach der Arbeit werden insgesamt 1 + 3 + 1/2 + 1 1/2 + 2 = 8 Stunden dauern. #### 8
"April spendet Pflanzengläser an eine örtliche Schule für ihren neuen Garten. Sie verlangen 30 Pflanzengläser für die Gänseblümchen und doppelt so viele für die Rosen. April hatte bereits 100 Pflanzengläser aus dem Gartenzentrum gekauft, bevor sie wusste, wie viele sie brauchte. Wie viele Pflanzengläser hat April noch übrig?","Für die Rosen will die Schule 30 * 2 = <<30*2=60>> 60 Pflanzengläser. Das bedeutet, dass sie der Schule 60 Pflanzengläser für Rosen + 30 Pflanzengläser für Gänseblümchen = <<60+30=90>> 90 Pflanzengläser gibt. Insgesamt hat Alice 100 90 = <<100-90=10>> 10 Pflanzengläser übrig. #### 10"
"Nachdem Andrea etwas Geld gespart hatte, kaufte sie mit dem übrigen Geld einen Pullover im Wert von 11 Dollar und gab seinem Bruder 4 Dollar. Wenn sie am Anfang 36 Dollar hatte, wie viel hat Andrea dann gespart?",Andrea gab ihrem Bruder insgesamt $11 + $4 = $<<11+4=15>> 15. Also hat sie $36 - $15 = $<<36-15=21>>21 gespart. #### 21
"John beschließt, während seines Urlaubs verschiedene Aktivitäten zu unternehmen. Er verbringt 6 Stunden mit Bootfahren und die Hälfte davon mit Schwimmen. Er schaute sich auch 3 verschiedene Shows an, die jeweils 2 Stunden dauerten. Das waren 30 Prozent der Zeit, die er damit verbrachte. Er verbrachte 40% seiner Zeit mit Sightseeing. Wie viel Zeit hat er damit verbracht, die Sehenswürdigkeiten zu besichtigen?",Er verbrachte 6/2= <<6/2=3>> 3 Stunden mit Schwimmen Er verbrachte 3*2= <<3*2=6>> 6 Stunden mit Shows also verbrachte er 6+3+6= <<6+3+6=15>> 15 Stunden mit diesen Aktivitäten Das bedeutet er verbrachte 15/.3= <<15/.3=50>> 50 Stunden mit Aktivitäten also verbrachte er 50*4= <<50*.4=20>> 20 Stunden mit Sightseeing #### 20
"Annabelle spart für ein Telefon, das 400 Dollar kostet. Sie hat schon 80 Dollar gespart. Ihr erster Job, bei dem sie 10 Dollar pro Stunde verdient, bezahlt sie für 20 Arbeitsstunden. Sie wird auch für 15 Stunden Arbeit bei ihrem zweiten Job bezahlt, wo sie 5 Dollar pro Stunde verdient. In Dollar, wie viel Geld muss Annabelle noch sparen?","Wenn wir Annabelle's anfängliche Ersparnisse abziehen, zeigt sich, dass sie noch $400 $80 = $<<400-80=320>> 320 sparen muss. Von ihrem ersten Job verdient sie $10 * 20 Stunden = $ <<10*20=200>> 200. Von ihrem zweiten Job verdient sie $5 * 15 Stunden = $ <<5*15=75>> 75. Sie muß daher noch 320 $ 200 $ 75 $ = $ <<320-200-75=45>> 45 einsparen. #### 45"
"Es gibt drei Bäume im Hinterhof von Eddy. Der kürzeste Baum hat eine Höhe von 6 Fuß, und der zweite Baum hat eine Höhe von 5 Fuß mehr als der kürzeste Baum. Die Höhe des höchsten Baumes ist doppelt so hoch wie die Höhe der beiden Bäume zusammen. Wie hoch ist der höchste Baum?",Die Höhe des zweiten Baumes ist 6 + 5 = <<6+5=11>> 11 Fuß. Somit ist die Gesamthöhe der beiden Bäume 6 + 11 = <<6+11=17>> 17 Fuß. Daher beträgt die Höhe des höchsten Baumes 2 x 17 = <<2*17=34>> 34 Fuß. #### 34
"Deans Mutter gab ihm 28 Dollar, um in den Spielzeugladen zu gehen. Dean hat 6 Spielzeugautos und 5 Teddybären gekauft. Jedes Spielzeugauto kostete 2 Dollar und jeder Teddybär 1 Dollar. Seine Mutter fühlt sich dann großzügig und beschließt, ihm weitere 10 Dollar zu geben. Wie viel Geld hat Dean noch?","Die Kosten der Spielzeugautos sind 6 Autos × $2/Auto = $ <<6*2=12>> 12. Die Kosten für die Teddybären sind 5 Bären × $ 1 / Bär = $ <<5*1=5>> 5. Die Gesamtkosten der Spielzeuge betragen $12 + $5 = $<<12+5=17>> 17. Wenn wir die beiden Geldbeträge addieren, die ihm seine Mutter gegeben hat, haben wir herausgefunden, daß Dean $28 + $10 = $<<28+10=38>>38 auszugeben hat. Dean hat $38 - $17 = $21 übrig. #### 21"
"Morgans Vater sagte, dass sie 90 Dollar für ihre Geburtstagsfeier geplant hatte. Sie will sichergehen, dass sie und ihre Freunde alle eine Runde Minigolf spielen, 5 Dollar Arcade-Token haben und zweimal Go-Karts fahren können. Eine Runde Minigolf kostet fünf Dollar. Die Go-Karts kosten 10 Dollar pro Fahrt. Wie viele Freunde kann sie einladen?","Die Go-Karts kosten 20 Dollar pro Person, weil 10 x 2 = <<10*2=20>> 20 Jede Person kostet 30 Dollar, weil 5 + 5 + 20 = <<5+5+20=30>> 30 Insgesamt können drei Personen teilnehmen, weil 90 / 30 = <<90/30=3>> 3 Sie kann 2 Freunde einladen, weil 3 - 1 = <<3-1=2>> 2 #### 2"
"Marisa bekommt von ihren Eltern jeden Tag fünf Dollar als Taschengeld. Sie kauft täglich 4 Lutscher im Wert von 25 Cent und speichert das Wechselgeld in ihrem Schweinchen. Wie viel Geld steckt sie in ihr Sparschwein, wenn sie für 5 Tage spart?","Wenn jeder Lutscher 25 Cent kostet, kosten 4 Lutscher 4 * 25 Cent = <<4*25=100>> 100 Cent Da 100 Cent = 1 Dollar, gibt sie jeden Tag 1 Dollar aus. Ihre täglichen Ersparnisse sind $5 - $1 = $<<5-1=4>> 4 Wenn sie $4 jeden Tag für 5 Tage spart, hat sie $4 * 5 = $<<4*5=20>> 20 #### 20"
